pcl,eng,see-also,pcl-keywords,eng-keywords,pcl-metaphone,eng-metaphone
*(s)olno-,large,,"solnggo,solnggo-,solngo,solngo-,solno,solno-",larg,"SLNK,SSLNK","LRJ,LRK"
*solno-,large,,"solnggo,solnggo-,solngo,solngo-,solno,solno-",larg,SLNK,"LRJ,LRK"
*olno-,large,,"olnggo,olnggo-,olngo,olngo-,olno,olno-",larg,"ALNK,LNK","LRJ,LRK"
(kom-)sart-e/o- -,bark,,"-,eo,kom,kom-sart-eo-,kong,kong-sart-eo-,kongg,kongg-sart-eo-,sart",bark,"A,KNK,KNKKKSRTT,KNKKRTT,KNKKSRTT,SRT",PRK
(wala-)*,be powerful,,"wala,wala-","be,power","AL,FL,L","P,PR,PRFL"
*φlontā-,linen,,"thlonggta,thlonggta-,thlongta,thlongta-,φlontā,φlontā-",linen,"0LNKT,TLNKT","LNJNK,LNKNK"
*φlotnā-,linen,,"thlotnga,thlotnga-,thlotngga,thlotngga-,φlotnā,φlotnā-",linen,"0LTNK,TLTNK","LNJNK,LNKNK"
*(-)wo-reid-o-,horse,,"-wo-reid-o-,o,reid,wo",hor,"A,F,RT,RTT",HRS
*wo-reid-o-,horse,,"o,reid,wo,wo-reid-o-",hor,"A,ARTT,F,FRTT,RT,RTT",HRS
*-wo-reid-o-,horse,,"-wo-reid-o-,o,reid,wo",hor,"A,F,RT,RTT",HRS
*φrāko-,ahead,,"thrako,thrako-,φrāko,φrāko-",ahead,"0RK,TRK",AHT
*(ad-)kri-,shivering,,"ad,ad-kri-,kri",shiver,"AT,ATTKR,KR,TTTKR","XFR,XFRNK"
*kri-,shivering,,"kri,kri-",shiver,KR,"XFR,XFRNK"
*ad-kri-,shivering,,"ad,ad-kri-,kri",shiver,"AT,ATTKR,KR,TTKR","XFR,XFRNK"
*(ad-)mello-,"tarrying, delay",,"ad,ad-mello-,ad-ngello-,ad-nggello-,mello,ngello,nggello","delay,tarri","AT,ATTNJL,ATTNKL,NJL,NKL,TTTNJL,TTTNKL","TL,TR,TRNKK"
*mello-,"tarrying, delay",,"mello,mello-,ngello,ngello-,nggello,nggello-","delay,tarri","NJL,NKL","TL,TR,TRNKK"
*ad-mello-,"tarrying, delay",,"ad,ad-mello-,ad-ngello-,ad-nggello-,mello,ngello,nggello","delay,tarri","AT,ATTNJL,ATTNKL,NJL,NKL,TTNJL,TTNKL","TL,TR,TRNKK"
