"pcl"; "eng"
"*(s)olno-"; "large"
"*solno-"; "large"
"*olno-"; "large"
"(kom-)sart-e/o- -"; "bark"
"(wala-)*"; "be powerful"
"*φlontā-"; "linen"
"*φlotnā-"; "linen"
"*(-)wo-reid-o-"; "horse"
"*wo-reid-o-"; "horse"
"*-wo-reid-o-"; "horse"
"*φrāko-"; "ahead"
"*(ad-)kri-"; "shivering"
"*kri-"; "shivering"
"*ad-kri-"; "shivering"
"*(ad-)mello-"; "tarrying, delay"
"*mello-"; "tarrying, delay"
"*ad-mello-"; "tarrying, delay"
"*(ambi-)nastu-"; "wet"
"*nastu-"; "wet"
"*ambi-nastu-"; "wet"
"*(and(a)-)agni-s"; "drive"
"*aagni-s"; "drive"
"*andaagni-s"; "drive"
"*a-agni-s"; "drive"
"*anda-agni-s"; "drive"
"*(ande-)stād-(ī-tu-)"; "attaching"
"*stād-"; "attaching"
"*ande-stād-"; "attaching"
"*stād-ī-tu-"; "attaching"
"*ande-stād-ī-tu-"; "attaching"
"*(ari-)kʷet-"; "spare, save"
"*kʷet-"; "spare, save"
"*ari-kʷet-"; "spare, save"
"*(d)longo-"; "long"
"*longo-"; "long"
"*dlongo-"; "long"
"*(exs-)stong-e/o-"; "bend down"
"*stong-e/o-"; "bend down"
"*exs-stong-e/o-"; "bend down"
"*(kom-)olk-o-"; "perfect"
"*olk-o-"; "perfect"
"*kom-olk-o-"; "perfect"
"*(kom-)osti-"; "temple"
"*osti-"; "temple"
"*kom-osti-"; "temple"
"*(kom-)tou(V)to-"; "cover"
"*touto-"; "cover"
"*kom-touto-"; "cover"
"*touVto-"; "cover"
"*kom-touVto-"; "cover"
"*(s)an-"; "our"
"*an-"; "our"
"*san-"; "our"
"*(s)kramman-"; "skin"
"*kramman-"; "skin"
"*skramman-"; "skin"
"*(s)kutu-"; "head"
"*kutu-"; "head"
"*skutu-"; "head"
"*(s)kǐttu-"; "left"
"*kǐttu-"; "left"
"*skǐttu-"; "left"
"*(s)lib-markā-"; "oyster"
"*lib-markā-"; "oyster"
"*slib-markā-"; "oyster"
"*(s)lisd-"; "flat-fish"
"*lisd-"; "flat-fish"
"*slisd-"; "flat-fish"
"*(s)lunk-e/o-"; "swallow"
"*lunk-e/o-"; "swallow"
"*slunk-e/o-"; "swallow"
"*(s)natjā-(je/o-)"; "jump, fly"
"*natjā-"; "jump, fly"
"*snatjā-"; "jump, fly"
"*natjā-je/o-"; "jump, fly"
"*snatjā-je/o-"; "jump, fly"
"*(s)nīs"; "we"
"*nīs"; "we"
"*snīs"; "we"
"*(s)tano- / *(s)tanā-"; "location"
"*(s)tano-"; "location"
"*(s)tanā-"; "location"
"*tano-"; "location"
"*stano-"; "location"
"*tanā-"; "location"
"*stanā-"; "location"
"*(s)teb-je/o-"; "laugh"
"*teb-je/o-"; "laugh"
"*steb-je/o-"; "laugh"
"*(s)teig-e/o-"; "go"
"*teig-e/o-"; "go"
"*steig-e/o-"; "go"
"*(s)temppu-"; "pillar"
"*temppu-"; "pillar"
"*stemppu-"; "pillar"
"*(s)tinowo-"; "valley"
"*tinowo-"; "valley"
"*stinowo-"; "valley"
"*(s)tixtā-"; "going"
"*tixtā-"; "going"
"*stixtā-"; "going"
"*(s)tolgo-"; "strength"
"*tolgo-"; "strength"
"*stolgo-"; "strength"
"*(s)tombo-"; "bush"
"*tombo-"; "bush"
"*stombo-"; "bush"
"*(s)trīnā-"; "fight"
"*trīnā-"; "fight"
"*strīnā-"; "fight"
"*(s)trunk-V-"; "urine, faeces"
"*trunk-V-"; "urine, faeces"
"*strunk-V-"; "urine, faeces"
"*(s)worei-"; "play"
"*worei-"; "play"
"*sworei-"; "play"
"*(s)worei-mag-"; "playground"
"*worei-mag-"; "playground"
"*sworei-mag-"; "playground"
"*(sk)nidāko-"; "having lice"
"*nidāko-"; "having lice"
"*sknidāko-"; "having lice"
"*(so-)sin"; "this"
"*sin"; "this"
"*so-sin"; "this"
"*(su-)lurk-o-"; "fierce"
"*lurk-o-"; "fierce"
"*su-lurk-o-"; "fierce"
"*(t)lam-je/o-"; "dare"
"*lam-je/o-"; "dare"
"*tlam-je/o-"; "dare"
"*(t)leiko-"; "miserable"
"*leiko-"; "miserable"
"*tleiko-"; "miserable"
"*(t)lob-"; "disappear"
"*lob-"; "disappear"
"*tlob-"; "disappear"
"*(t)luxto-"; "load, burden"
"*luxto-"; "load, burden"
"*tluxto-"; "load, burden"
"*(tu-)ande-φar(x)-ske/o-"; "greet"
"*ande-φar-ske/o-"; "greet"
"*tu-ande-φar-ske/o-"; "greet"
"*ande-φarx-ske/o-"; "greet"
"*tu-ande-φarx-ske/o-"; "greet"
"*(tu-)ari-koito-"; "light sleep"
"*ari-koito-"; "light sleep"
"*tu-ari-koito-"; "light sleep"
"*(tu-)u-n-k-e/o-"; "understand"
"*u-n-k-e/o-"; "understand"
"*tu-u-n-k-e/o-"; "understand"
"*(uxs-)sterb-"; "death"
"*sterb-"; "death"
"*uxs-sterb-"; "death"
"*(φ)adwo-"; "fast"
"*adwo-"; "fast"
"*φadwo-"; "fast"
"*(φ)likkā-"; "flat stone"
"*likkā-"; "flat stone"
"*φlikkā-"; "flat stone"
"*(φ)rāti-, *-(φ)rāto-"; "earthen bank"
"*(φ)rāti-"; "earthen bank"
"*-(φ)rāto-"; "earthen bank"
"*rāti-"; "earthen bank"
"*φrāti-"; "earthen bank"
"*-rāto-"; "earthen bank"
"*-φrāto-"; "earthen bank"
"*(φ)riketti-"; "coal"
"*riketti-"; "coal"
"*φriketti-"; "coal"
"*(φ)rind-o-"; "cape"
"*rind-o-"; "cape"
"*φrind-o-"; "cape"
"*(φ)streu-"; "sneeze"
"*streu-"; "sneeze"
"*φstreu-"; "sneeze"
"*(φ)utu-"; "udder"
"*utu-"; "udder"
"*φutu-"; "udder"
"*(φ)īts-elo-"; "low"
"*īts-elo-"; "low"
"*φīts-elo-"; "low"
"*(φ)labro-"; "speak"
"*labro-"; "speak"
"*φlabro-"; "speak"
"*(φ)lakno-"; "sadness"
"*lakno-"; "sadness"
"*φlakno-"; "sadness"
"*(φ)lan(d)weto-"; "flood"
"*lanweto-"; "flood"
"*φlanweto-"; "flood"
"*landweto-"; "flood"
"*φlandweto-"; "flood"
"*(φ)lārek-"; "mare (horse)"
"*lārek-"; "mare (horse)"
"*φlārek-"; "mare (horse)"
"*(φ)lendu-"; "fluid"
"*lendu-"; "fluid"
"*φlendu-"; "fluid"
"*(φ)lendu-"; "lake"
"*lendu-"; "lake"
"*φlendu-"; "lake"
"*(φ)lendu-"; "water"
"*lendu-"; "water"
"*φlendu-"; "water"
"*(φ)lesto-"; "gain"
"*lesto-"; "gain"
"*φlesto-"; "gain"
"*(φ)leto-einekʷo-"; "page"
"*leto-einekʷo-"; "page"
"*φleto-einekʷo-"; "page"
"*(φ)likkā-"; "rickets"
"*likkā-"; "rickets"
"*φlikkā-"; "rickets"
"*(φ)lin-je/o-"; "flow"
"*lin-je/o-"; "flow"
"*φlin-je/o-"; "flow"
"*(φ)listo-"; "fort"
"*listo-"; "fort"
"*φlisto-"; "fort"
"*(φ)listo-makʷ(kʷ)o-"; "stepson"
"*listo-makʷo-"; "stepson"
"*φlisto-makʷo-"; "stepson"
"*listo-makʷkʷo-"; "stepson"
"*φlisto-makʷkʷo-"; "stepson"
"*(φ)littjon-"; "broth"
"*littjon-"; "broth"
"*φlittjon-"; "broth"
"*(φ)louno-, *(φ)lono-"; "tallow, fat"
"*(φ)louno-"; "tallow, fat"
"*(φ)lono-"; "tallow, fat"
"*louno-"; "tallow, fat"
"*φlouno-"; "tallow, fat"
"*lono-"; "tallow, fat"
"*φlono-"; "tallow, fat"
"*(φ)rannā-"; "part"
"*rannā-"; "part"
"*φrannā-"; "part"
"*(φ)rasd-"; "polish"
"*rasd-"; "polish"
"*φrasd-"; "polish"
"*(φ)rati-"; "fern"
"*rati-"; "fern"
"*φrati-"; "fern"
"*"; "riches"
"*?-trebā"; "home"
"*ā"; "vocative"
"*a/eli/es(t)r-"; "sword-flag"
"*a/eli/esr-"; "sword-flag"
"*a/eli/estr-"; "sword-flag"
"*aballo-"; "apple"
"*aballon-"; "apple-orchard"
"*abalo-"; "apple"
"*abanko-"; "beaver, dwarf"
"*abbon-"; "monkey"
"*abon-"; "river"
"*abonā-"; "river"
"*abro-"; "very"
"*ad-"; "prefix (lit. to)"
"*ad- , *tu-  + daw-e/o-"; "promise"
"*ad-"; "promise"
"*tu-  + daw-e/o-"; "promise"
"*ad- "; "promise"
"*tu-  + daw-e/o-"; "promise"
"*ad-/φari-jūn-"; "beautiful"
"*ad-akʷī-"; "night"
"*ad-ālo-"; "request"
"*adaso-"; "fitting"
"*ad-bal-e/o-"; "die"
"*ad-ber-o-"; "mouth of river; confluence"
"*ad-ber-o-"; "servant"
"*ad-dam-e/o-"; "admit, confess"
"*ad-garwo-"; "rough"
"*ad-gen-n-o-"; "fine"
"*adilo-"; "duty, goal"
"*ad-jatu-"; "striving"
"*ad-kar-a-"; "love"
"*ad-kas-ti-"; "hate"
"*ad-kasti-"; "great hate"
"*ad-ken-ī-"; "lineage"
"*ad-koilo-"; "thin"
"*ad-koilo-"; "very thin"
"*ad-kuφ-ro-"; "wish"
"*ad-lāto-"; "wound"
"*ad-menserā-"; "time"
"*ad-ougro-"; "sad"
"*ad-ren-"; "kidney"
"*ad-rigo- , *ad-reigo-"; "chain"
"*ad-rigo-"; "chain"
"*ad-reigo-"; "chain"
"*ad-rigo- "; "chain"
"*ad-reigo-"; "chain"
"*ad-rīmā-"; "number"
"*ad-rostu-"; "dwelling"
"*ad-sor-o-"; "return"
"*ad-sowjo-"; "left"
"*ad-trebā(-je/o)-"; "possess"
"*ad-trebā-"; "possess"
"*ad-trebā-je/o-"; "possess"
"*ad-trougo-"; "very poor"
"*adVbV-"; "dwelling-place"
"*adV-met-V-"; "ripe"
"*ad-φas-tr(j)o-"; "horse"
"*ad-φas-tro-"; "horse"
"*ad-φas-trjo-"; "horse"
"*ad-φro-gʷant-V-"; "ferocity"
"*ag-"; "say"
"*ag- (*āg-)"; "fear"
"*ag- "; "fear"
"*ag- *āg-"; "fear"
"*ag(g)"; "with"
"*ag"; "with"
"*agg"; "with"
"*ag(ʷ)li-"; "insult"
"*agli-"; "insult"
"*agʷli-"; "insult"
"*ag-e/o-"; "drive"
"*agīko-"; "buck"
"*agileitā-"; "hearth"
"*aginā-"; "pot"
"*agjo-"; "race"
"*aglo-"; "pain, wound"
"*agman-"; "gang"
"*-agno-"; "descendant, child"
"*āgo-māro-"; "warlike"
"*agos- , *ag-l-"; "buck"
"*agos-"; "buck"
"*ag-l-"; "buck"
"*agos- "; "buck"
"*ag-l-"; "buck"
"*agro-, *agrā-"; "slaughter"
"*agro-"; "slaughter"
"*agrā-"; "slaughter"
"*agro-"; "slaughter"
"*agrā-"; "slaughter"
"*agro-kū"; "battlehound"
"*agro-magos-"; "battle-field"
"*āgu-"; "fight"
"*agʷitā-"; "face"
"*ai(d)-lo-"; "chalk"
"*ai-lo-"; "chalk"
"*aid-lo-"; "chalk"
"*aidu-"; "fire"
"*aili-"; "cheek"
"*aittVlinā-"; "aspen"
"*aiwestu-"; "age"
"*aiwito-"; "age"
"*akamno-m"; "rock"
"*akar(n)o-"; "maple"
"*akaro-"; "maple"
"*akarno-"; "maple"
"*akero-"; "sharp"
"*ak-īno-"; "shoots"
"*akor- , *dī-kor-"; "open"
"*akor-"; "open"
"*dī-kor-"; "open"
"*akor- "; "open"
"*dī-kor-"; "open"
"*akraitsā-"; "hips"
"*akro-"; "sharp"
"*aksi-"; "axis"
"*aksilā-"; "axle"
"*aktīnā-"; "gorse"
"*āku-"; "fast"
"*akustV-"; "near"
"*akʷā-"; "water"
"*akwīl(l)o-"; "borer"
"*akwīlo-"; "borer"
"*akwīllo-"; "borer"
"*al-ā-"; "calving"
"*alaljo-"; "other"
"*alamo-"; "riches"
"*alanno-"; "coltsfoot"
"*alarko-"; "swan"
"*alaudā-"; "bird"
"*Alauno-"; "(shining)"
"*alausā-"; "shad (fish)"
"*Albeies"; "Alps"
"*Albion-"; "Britain"
"*albjo-"; "world"
"*al-e/o-"; "nourish"
"*alikettā-"; "chin"
"*alisā"; "alder"
"*aliweto-"; "grief, death"
"*āl-je/o-"; "ask"
"*aljo-"; "other, second"
"*alki-"; "elk"
"*allo-"; "other"
"*allo-mor-ī"; "foreigners"
"*allo-mrog-i-"; "foreigner"
"*Almā"; "river name"
"*altjo-"; "nourished"
"*alto-"; "height"
"*altrawon-"; "foster-father"
"*altrawonī-"; "foster-mother"
"*alxwedā-"; "key"
"*alǎto-"; "variegated"
"*amban-"; "butter"
"*ambi-"; "preposition (around)"
"*ambi-axto-"; "servant"
"*ambi-blixs-"; "pupil of the eye"
"*ambi-buti-"; "contract"
"*ambi-dī-mato-"; "orphaned"
"*ambi-kel-jo-"; "anxiety"
"*ambi-līw-o-"; "speckled"
"*ambiljon-"; "navel"
"*ambi-nat-je/o-"; "beckon"
"*ambi-noxto-"; "completely naked"
"*ambi-rādo-"; "thought"
"*ambi-skamno-"; "agile"
"*ambi-sou-eje/o-"; "turn around"
"*ambi-takto-"; "wander"
"*ambito-"; "amount"
"*ambi-tog-"; "clothe"
"*ambi-wik-e/o-"; "fight (with)"
"*ambi-wi-t(j)o-"; "enclosed place"
"*ambi-wi-to-"; "enclosed place"
"*ambi-wi-tjo-"; "enclosed place"
"*ambi-φleud-je/o-"; "agitate"
"*ambi-φro-metsu- (< *-med-tu-)"; "sin"
"*ambi-φro-metsu- "; "sin"
"*ambi-φro-metsu- < *-med-tu-"; "sin"
"*ambjā-"; "fence"
"*ambranro-windā-"; "whitewort"
"*ambri-"; "river name"
"*ambu-"; "river"
"*ammantī-"; "old woman"
"*amnets-V-"; "wrathful"
"*amrant-"; "eyebrow"
"*amφellā-"; "plant"
"*an-"; "negative"
"*an(a)"; "intensive"
"*an"; "intensive"
"*ana"; "intensive"
"*ana-"; "stay"
"*anaman-"; "soul"
"*anamī-"; "mistake"
"*anam-ousto-"; "maimed"
"*anatī-"; "soul"
"*anatlā-"; "breath"
"*an-bri-to- (< *-br̥-)"; "injustice"
"*an-bri-to- "; "injustice"
"*an-bri-to- < *-br̥-"; "injustice"
"*anda"; "there"
"*ande-"; "against"
"*ande-bitso-"; "ring"
"*ande-blād-je/o-"; "brag, boast"
"*ande-bni-"; "anvil"
"*ande-gan-o-"; "nature"
"*ande-klad-e/o-"; "bury"
"*ande-līkʷ-o-"; "slander"
"*ande-matī-"; "sign"
"*ande-oxto-"; "wonder"
"*anderā-"; "young woman"
"*ander-īko-"; "bull"
"*ande-sed-ā-"; "dwelling-place"
"*ande-sed-e/o-"; "inhabit"
"*ande-swanto-"; "greed(y)"
"*ande-weg-V-"; "weaving"
"*ande-wit-o-"; "cold"
"*ande-wo-kāno-"; "great, strong"
"*andīljā-"; "use"
"*an-dī-mik-et-o-"; "bewilderment"
"*andiwan-"; "anvil"
"*ando-, *ondjo-"; "blind"
"*ando-"; "blind"
"*ondjo-"; "blind"
"*ando-"; "blind"
"*ondjo-"; "blind"
"*an-drixtā-"; "dark"
"*an-dunjo-"; "not-person"
"*an-gabagli-"; "unsuccessful"
"*ang-e/o-"; "fear"
"*angelo-"; "fire, light"
"*angjo-"; "narrow(ness)"
"*an-gnāto-"; "unknown"
"*angos-"; "narrowness"
"*angu-"; "anguish"
"*angu-"; "snake"
"*angʷīnā-"; "nail"
"*angwīn-āko-"; "having nails"
"*angwīno-rewo-"; "frost-bite"
"*ānjā-"; "anus"
"*ānjā-"; "ring"
"*an-kaini-"; "indecent"
"*ankato-"; "hook"
"*ankenā-"; "need"
"*an-kenetlV-"; "giant"
"*anken-oustV-"; "needy"
"*anko-"; "bent"
"*an-kob-je/o-"; "forget"
"*an-kom-dīlo-"; "unskilful"
"*an-kom-nerto-"; "misery"
"*an-komoxto-"; "unpowerful"
"*an-kom-wari-"; "disarranged"
"*an-krabudo-"; "godless"
"*anktu-"; "manslaughter"
"*anku-"; "death"
"*an-kʷeisl-o-"; "madness"
"*an-kʷlanno-"; "having no clan"
"*an-makʷo-"; "childless"
"*anman-"; "name"
"*an-menjā-"; "patience"
"*ans-"; "negative"
"*ansi-"; "reins"
"*ans-kridjo-"; "injury"
"*ansro-"; "our"
"*an-suφn-ijā-"; "sleeplessness"
"*an-tl-VngV-"; "unworthy"
"*antano-"; "forehead"
"*an-teki-"; "unpleasant"
"*an-text-ī-"; "incapable"
"*an-trato-"; "libido"
"*an-trougo-karo-"; "unmerciful"
"*an-tuwilongi-"; "unworthy"
"*anu-"; "from the (with directions of the wind)"
"*anxto-"; "pain"
"*an-φlabro-"; "dumb"
"*an-φlesto-"; "inconvenience"
"*an-φrijo-"; "lame, maimed"
"*ar(-akno)-"; "bread"
"*ar-"; "bread"
"*ar-akno-"; "bread"
"*ar(i)-akʷ-o-"; "pleasant"
"*ar-akʷ-o-"; "pleasant"
"*ari-akʷ-o-"; "pleasant"
"*ara-kʷenni-"; "field measure"
"*aramo-"; "arm"
"*aramo-"; "slow"
"*arankā-"; "grain"
"*arat-"; "servant"
"*aratro-"; "plough"
"*arbīno-"; "rape"
"*ardi-"; "endpoint"
"*ardwo-"; "high"
"*arganto-"; "silver"
"*argjo-"; "white"
"*argo-"; "hero"
"*ari-durno-"; "wrist"
"*ari-kaito-"; "trees, forest"
"*ari-kom-brou-"; "dowry"
"*ari-kom-wed-e/o-"; "damage"
"*ari-lajā-"; "guidance, advice"
"*ari-med-o-"; "intention"
