"pie","eng","see-also","pie-keywords","eng-keywords","pie-metaphone","eng-metaphone"
"ā","(an exclamation)","[]","[]","[""an"", ""exclam""]","[""A""]","[""AKSLM"", ""AN""]"
"ā","(an exclamation)","[]","[]","[""an"", ""exclam""]","[""A""]","[""AKSLM"", ""AN""]"
"ab-","water, river","[""\u0101\u0306p-""]","[""ab"", ""ab-"", ""aap"", ""aap-"", ""\u0101\u0306p"", ""\u0101\u0306p-""]","[""river"", ""water""]","[""AP"", ""APP""]","[""ATR"", ""FTR"", ""RFR""]"
"ab-","water, river","[""\u0101\u0306p-""]","[""ab"", ""ab-"", ""aap"", ""aap-"", ""\u0101\u0306p"", ""\u0101\u0306p-""]","[""river"", ""water""]","[""AP"", ""APP""]","[""ATR"", ""FTR"", ""RFR""]"
"ā̆bel-","<b>apple</b>","[]","[""aabel"", ""aabel-"", ""\u0101\u0306bel"", ""\u0101\u0306bel-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"ā̆bel-","<b>apple</b>","[]","[""aabel"", ""aabel-"", ""\u0101\u0306bel"", ""\u0101\u0306bel-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"ā̆bō̆l-","<b>apple</b>","[]","[""aaboal"", ""aaboal-"", ""\u0101\u0306b\u014d\u0306l"", ""\u0101\u0306b\u014d\u0306l-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"ā̆bō̆l-","<b>apple</b>","[]","[""aaboal"", ""aaboal-"", ""\u0101\u0306b\u014d\u0306l"", ""\u0101\u0306b\u014d\u0306l-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"abel-","<b>apple</b>","[]","[""abel"", ""abel-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"abel-","<b>apple</b>","[]","[""abel"", ""abel-""]","[""appl""]","[""APL"", ""APLL""]","[""APL""]"
"abh-","swift, quick, abrupt","[""abhro-""]","[""abh"", ""abh-"", ""abhro"", ""abhro-""]","[""abrupt"", ""quick"", ""swift""]","[""AP"", ""APR""]","[""APRPT"", ""KK"", ""SFT"", ""XFT""]"
"abh-","swift, quick, abrupt","[""abhro-""]","[""abh"", ""abh-"", ""abhro"", ""abhro-""]","[""abrupt"", ""quick"", ""swift""]","[""AP"", ""APR""]","[""APRPT"", ""KK"", ""SFT"", ""XFT""]"
"abhro-","strong, mighty","[""abh-""]","[""abhro"", ""abhro-"", ""abh"", ""abh-""]","[""mighti"", ""strong""]","[""AP"", ""APR""]","[""MT"", ""STRNK""]"
"abhro-","strong, mighty","[""abh-""]","[""abhro"", ""abhro-"", ""abh"", ""abh-""]","[""mighti"", ""strong""]","[""AP"", ""APR""]","[""MT"", ""STRNK""]"
"abō(n)","<b>ape</b>, monkey","[]","[""abon"", ""ab\u014dn""]","[""ape"", ""monkey""]","[""AP"", ""APN"", ""APNN""]","[""AP"", ""MNK""]"
"abō","<b>ape</b>, monkey","[]","[""abo"", ""ab\u014d""]","[""ape"", ""monkey""]","[""AP"", ""APN"", ""APNN""]","[""AP"", ""MNK""]"
"abōn","<b>ape</b>, monkey","[]","[""abon"", ""ab\u014dn""]","[""ape"", ""monkey""]","[""AP"", ""APN"", ""APNN""]","[""AP"", ""MNK""]"
"ad-","<b>at</b>, by, to","[""ad-""]","[""ad"", ""ad-"", ""ad"", ""ad-""]","[""at"", ""by"", ""to""]","[""AT"", ""ATT""]","[""AT"", ""P"", ""T""]"
"ad-","<b>at</b>, by, to","[""ad-""]","[""ad"", ""ad-"", ""ad"", ""ad-""]","[""at"", ""by"", ""to""]","[""AT"", ""ATT""]","[""AT"", ""P"", ""T""]"
"ad-","to fix, put in order","[""ad-""]","[""ad"", ""ad-"", ""ad"", ""ad-""]","[""fix"", ""in"", ""order"", ""put"", ""to""]","[""AT"", ""ATT""]","[""AN"", ""ARTR"", ""FKS"", ""PT"", ""T""]"
"ad-","to fix, put in order","[""ad-""]","[""ad"", ""ad-"", ""ad"", ""ad-""]","[""fix"", ""in"", ""order"", ""put"", ""to""]","[""AT"", ""ATT""]","[""AN"", ""ARTR"", ""FKS"", ""PT"", ""T""]"
"ades-","spelt (type of grain)","[]","[""ade"", ""ades-""]","[""grain"", ""of"", ""spelt"", ""type""]","[""AT"", ""ATSS""]","[""AF"", ""KRN"", ""SPLT"", ""TP""]"
"ades-","spelt (type of grain)","[]","[""ade"", ""ades-""]","[""grain"", ""of"", ""spelt"", ""type""]","[""AT"", ""ATSS""]","[""AF"", ""KRN"", ""SPLT"", ""TP""]"
"ados-","spelt (type of grain)","[]","[""ado"", ""ados-""]","[""grain"", ""of"", ""spelt"", ""type""]","[""AT"", ""ATSS""]","[""AF"", ""KRN"", ""SPLT"", ""TP""]"
"ados-","spelt (type of grain)","[]","[""ado"", ""ados-""]","[""grain"", ""of"", ""spelt"", ""type""]","[""AT"", ""ATSS""]","[""AF"", ""KRN"", ""SPLT"", ""TP""]"
"ad(u)-","current, water course","[]","[""adu"", ""adu-""]","[""cours"", ""current"", ""water""]","[""AT"", ""ATT"", ""ATTR""]","[""ATR"", ""FTR"", ""KRNT"", ""KRS""]"
"ad-","current, water course","[]","[""ad"", ""ad-""]","[""cours"", ""current"", ""water""]","[""AT"", ""ATT"", ""ATTR""]","[""ATR"", ""FTR"", ""KRNT"", ""KRS""]"
"adu-","current, water course","[]","[""adu"", ""adu-""]","[""cours"", ""current"", ""water""]","[""AT"", ""ATT"", ""ATTR""]","[""ATR"", ""FTR"", ""KRNT"", ""KRS""]"
"ad-ro-","current, water course","[]","[""ad"", ""ad-ro-"", ""ro""]","[""cours"", ""current"", ""water""]","[""AT"", ""ATT"", ""ATTR"", ""R""]","[""ATR"", ""FTR"", ""KRNT"", ""KRS""]"
